force, startX, endX, deltaX, deltaXDeg
0, 0, 0, 0, 0
50, -34, -34, 0, 0.000000
100, -34, -34, 0, 0.000000
150, -34, -34, 0, 0.000000
200, -34, -34, 0, 0.000000
250, -34, -34, 0, 0.000000
300, -34, -34, 0, 0.000000
350, -34, -34, 0, 0.000000
400, -34, -34, 0, 0.000000
450, -34, -34, 0, 0.000000
500, -34, -34, 0, 0.000000
550, -34, -34, 0, 0.000000
600, -34, -34, 0, 0.000000
650, -34, -34, 0, 0.000000
700, -34, -34, 0, 0.000000
750, -34, -34, 0, 0.000000
800, -34, -34, 0, 0.000000
850, -34, -34, 0, 0.000000
900, -34, -34, 0, 0.000000
950, -34, -34, 0, 0.000000
1000, -34, -34, 0, 0.000000
1050, -34, -34, 0, 0.000000
1100, -34, -34, 0, 0.000000
1150, -34, -34, 0, 0.000000
1200, -34, -34, 0, 0.000000
1250, -34, -34, 0, 0.000000
1300, -34, -34, 0, 0.000000
1350, -34, -34, 0, 0.000000
1400, -34, -34, 0, 0.000000
1450, -34, -34, 0, 0.000000
1500, -34, -34, 0, 0.000000
1550, -34, -33, 1, 0.027466
1600, -33, -33, 0, 0.000000
1650, -33, -33, 0, 0.000000
1700, -33, -33, 0, 0.000000
1750, -33, -33, 0, 0.000000
1800, -33, -33, 0, 0.013733
1850, -33, -33, 0, 0.000000
1900, -33, 6, 39, 1.785306
1950, 30, 195, 165, 7.429618
2000, 224, 491, 267, 12.030212
2050, 332, 583, 251, 11.288625
2100, 291, 535, 244, 10.972763
2150, 297, 651, 354, 15.916686
2200, 299, 689, 390, 17.578394
2250, 259, 678, 419, 18.855574
2300, 260, 730, 470, 21.149004
2350, 236, 726, 490, 22.055389
2400, 194, 749, 555, 24.994278
2450, -278, 316, 594, 26.779583
2500, 345, 883, 538, 24.184023
2550, 65, 636, 571, 25.722134
2600, 225, 911, 686, 30.858320
2650, 217, 805, 588, 26.449989
2700, 7, 651, 644, 29.004349
2750, 202, 938, 736, 33.096817
2800, 141, 1005, 864, 38.864727
2850, 69, 930, 861, 38.741131
2900, 21, 1020, 999, 44.989700
2950, -15, 867, 882, 39.729916
3000, 138, 1028, 890, 40.073242
3050, 37, 1016, 979, 44.069580
3100, 99, 1204, 1105, 49.713894
3150, -88, 950, 1038, 46.761272
3200, 97, 1250, 1153, 51.869991
3250, 21, 1069, 1048, 47.159534
3300, 101, 1417, 1316, 59.217213
3350, -56, 1189, 1245, 56.058594
3400, 184, 1422, 1238, 55.701534
3450, -178, 1306, 1484, 66.811630
3500, -52, 1318, 1370, 61.716640
3550, -39, 1358, 1397, 62.897690
3600, -51, 1313, 1364, 61.428246
3650, 21, 1358, 1337, 60.151066
3700, 145, 1611, 1466, 65.973907
3750, -174, 1307, 1481, 66.660561
3800, 162, 1683, 1521, 68.459602
3850, -67, 1410, 1477, 66.523232
3900, -128, 1490, 1618, 72.840469
3950, -150, 1285, 1435, 64.628059
4000, 0, 1580, 1580, 71.082626
4050, -86, 1378, 1464, 65.946442
4100, -124, 1367, 1491, 67.154953
4150, -57, 1537, 1594, 71.810486
4200, -121, 1589, 1710, 76.960403
4250, 17, 1706, 1689, 75.999084
4300, 57, 1871, 1814, 81.615929
4350, -88, 1760, 1848, 83.236435
4400, -64, 1710, 1774, 79.871826
4450, -98, 1455, 1553, 69.929047
4500, -14, 1581, 1595, 71.824219
4550, -82, 1422, 1504, 67.731743
4600, -7, 1571, 1578, 71.068893
4650, -90, 1598, 1688, 76.026550
4700, -129, 1512, 1641, 73.884186
4750, 13, 1563, 1550, 69.750519
4800, -62, 1593, 1655, 74.515907
4850, -77, 1548, 1625, 73.197525
4900, -40, 1834, 1874, 84.403755
4950, -132, 1597, 1729, 77.853058
5000, -113, 1520, 1633, 73.513390
5050, -66, 1616, 1682, 75.724419
5100, 227, 1848, 1621, 72.950333
5150, 112, 1822, 1710, 76.987869
5200, -98, 1696, 1794, 80.750748
5250, 54, 2026, 1972, 88.743416
5300, -138, 1504, 1642, 73.939117
5350, -129, 1843, 1972, 88.798355
5400, -128, 1736, 1864, 83.923096
5450, -146, 1698, 1844, 83.044174
5500, -36, 1671, 1707, 76.850540
5550, -43, 1796, 1839, 82.810715
5600, 9, 2003, 1994, 89.691002
5650, -74, 1937, 2011, 90.569923
5700, -128, 1665, 1793, 80.695808
5750, -98, 2013, 2111, 95.005722
5800, -159, 1956, 2115, 95.225449
5850, -126, 1965, 2091, 94.140533
5900, -132, 2048, 2180, 98.150604
5950, -36, 1914, 1950, 87.782104
6000, -116, 1649, 1765, 79.501030
6050, -116, 1846, 1962, 88.345161
6100, -129, 1635, 1764, 79.404900
6150, -136, 1737, 1873, 84.307625
6200, -97, 2061, 2158, 97.148087
6250, -133, 1729, 1862, 83.840698
6300, -134, 1765, 1899, 85.488670
6350, -226, 1990, 2216, 99.784851
6400, -50, 2121, 2171, 97.752350
6450, -106, 2119, 2225, 100.141907
6500, 198, 2102, 1904, 85.694664
6550, 113, 2113, 2000, 90.006866
6600, -6, 2102, 2108, 94.909592
6650, 145, 2029, 1884, 84.815750
6700, -119, 1801, 1920, 86.422523
6750, -113, 2086, 2199, 99.002060
6800, -105, 2126, 2231, 100.430305
6850, 36, 2386, 2350, 105.786224
6900, -110, 1884, 1994, 89.773407
6950, -88, 2263, 2351, 105.813690
7000, -167, 2035, 2202, 99.125656
7050, -101, 1945, 2046, 92.121765
7100, 225, 2536, 2311, 103.987183
7150, -17, 2273, 2290, 103.094528
7200, -139, 2189, 2328, 104.783707
7250, -85, 1876, 1961, 88.317696
7300, -55, 2044, 2099, 94.497597
7350, -38, 2235, 2273, 102.325478
7400, -73, 2182, 2255, 101.501488
7450, -87, 2255, 2342, 105.442894
7500, -97, 1926, 2023, 91.078049
7550, 34, 2495, 2461, 110.757614
7600, -107, 1919, 2026, 91.215378
7650, 26, 2433, 2407, 108.299385
7700, -172, 2233, 2405, 108.271919
7750, -94, 2227, 2321, 104.467842
7800, -81, 2448, 2529, 113.806366
7850, -52, 2075, 2127, 95.747307
7900, -137, 2039, 2176, 97.972076
7950, -110, 2126, 2236, 100.650032
8000, -117, 2375, 2492, 112.172119
8050, -53, 2042, 2095, 94.319069
8100, -37, 2434, 2471, 111.279472
8150, -152, 2429, 2581, 116.195923
8200, -127, 2217, 2344, 105.511559
8250, -120, 2166, 2286, 102.902267
8300, -109, 2070, 2179, 98.068207
8350, -94, 2065, 2159, 97.189285
8400, -120, 2103, 2223, 100.073242
8450, -124, 2311, 2435, 109.631493
8500, -48, 2552, 2600, 117.074844
8550, -29, 2527, 2556, 115.083542
8600, -126, 2517, 2643, 118.997482
8650, -99, 2371, 2470, 111.155869
8700, -74, 2376, 2450, 110.290688
8750, -99, 2520, 2619, 117.885101
8800, -153, 2366, 2519, 113.408104
8850, -161, 2289, 2450, 110.290688
8900, -94, 2543, 2637, 118.695351
8950, -146, 2131, 2277, 102.476540
9000, -118, 2295, 2413, 108.642708
9050, -112, 2672, 2784, 125.300987
9100, -65, 2323, 2388, 107.516594
9150, -81, 2402, 2483, 111.773865
9200, -74, 2769, 2843, 127.978943
9250, -138, 2727, 2865, 128.967728
9300, -191, 2239, 2430, 109.398033
9350, -197, 2746, 2943, 132.469666
9400, 219, 2740, 2521, 113.421837
9450, -112, 2918, 3030, 136.397339
9500, -14, 2832, 2846, 128.116272
9550, -46, 2535, 2581, 116.209656
9600, -88, 2595, 2683, 120.755325
9650, -110, 2573, 2683, 120.796524
9700, -116, 2468, 2584, 116.346992
9750, -100, 2956, 3056, 137.550934
9800, -142, 2575, 2717, 122.293434
9850, -78, 2740, 2818, 126.852829
9900, -191, 2605, 2796, 125.864044
9950, -32, 3211, 3243, 145.996796
10000, -92, 2686, 2778, 125.026321
